strategy_id,symbol,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,pnl_pct,status
SEQ_S1.11_S+S4.04_L,SUI,LONG,2026-05-25,1.0329,2026-05-27,0.9812549999999999,stop_loss,2,-5.19,closed
SEQ_S1.11_S+S3.01_L,BTC,SHORT,2026-05-26,77322.01,2026-06-02,69589.809,take_profit,7,9.82,closed
SEQ_S1.11_S+S3.01_L,SUI,SHORT,2026-05-26,1.043,2026-05-28,0.9387,take_profit,2,9.82,closed
SEQ_S1.11_S+S4.04_L,BTC,SHORT,2026-05-26,77322.01,2026-06-02,69589.809,take_profit,7,9.82,closed
SEQ_S1.11_S+S3.01_L#v5,OP,LONG,2026-05-28,0.1237,2026-06-04,0.11027444396617227,atr_stop,7,-11.031,closed
S2.08_L_aggr_F3,XLM,LONG,2026-05-29,0.2038,2026-05-29,0.23437,take_profit,0,14.77,closed
SEQ_S1.11_S+S4.04_L,OP,LONG,2026-05-29,0.1185,2026-06-03,0.13035,take_profit,5,9.78,closed
S1.11_S_aggr,AVAX,SHORT,2026-05-31,8.947,2026-06-04,7.604949999999999,take_profit,4,14.83,closed
S1.11_S_aggr,ETH,SHORT,2026-05-31,2022.44,2026-06-04,1719.074,take_profit,4,14.83,closed
S1.11_S_aggr,OP,SHORT,2026-05-31,0.1206,2026-06-03,0.12904200000000002,stop_loss,3,-7.214,closed
S1.11_S_aggr,SUI,SHORT,2026-05-31,0.9085,2026-06-04,0.7722249999999999,take_profit,4,14.83,closed
SEQ_S1.11_S+S3.01_L,OP,SHORT,2026-05-31,0.1206,2026-06-03,0.12663,stop_loss,3,-5.21,closed
SEQ_S1.11_S+S3.01_L#v5,AVAX,SHORT,2026-05-31,8.947,2026-06-02,8.052299999999999,take_profit,2,9.82,closed
SEQ_S1.11_S+S3.01_L#v5,BTC,SHORT,2026-05-31,73884.38,2026-06-02,66495.94200000001,take_profit,2,9.82,closed
SEQ_S1.11_S+S3.01_L#v5,SUI,SHORT,2026-05-31,0.9085,2026-06-02,0.81765,take_profit,2,9.82,closed
SEQ_S1.11_S+S3.01_L#v5,XLM,LONG,2026-05-31,0.2296,2026-05-31,0.25256,take_profit,0,9.78,closed
SEQ_S1.11_S+S4.04_L,AVAX,SHORT,2026-05-31,8.947,2026-06-02,8.052299999999999,take_profit,2,9.82,closed
SEQ_S1.11_S+S4.04_L,SOL,SHORT,2026-05-31,82.74,2026-06-02,74.466,take_profit,2,9.82,closed
SEQ_S1.11_S+S4.04_L,SUI,SHORT,2026-05-31,0.9085,2026-06-02,0.81765,take_profit,2,9.82,closed
SEQ_S1.11_S+S4.04_L,XLM,LONG,2026-05-31,0.2296,2026-05-31,0.25256,take_profit,0,9.78,closed
S3.12_S_aggr_F8,BTC,SHORT,2026-06-02,71408.9,2026-06-05,60697.564999999995,take_profit,3,14.83,closed
S3.12_S_aggr_F8,SOL,SHORT,2026-06-02,81.28,2026-06-04,69.088,take_profit,2,14.83,closed
S3.12_S_aggr_F8,AVAX,SHORT,2026-06-03,8.181,2026-06-05,6.953849999999999,take_profit,2,14.83,closed
S3.12_S_aggr_F8,DOGE,SHORT,2026-06-03,0.09275,2026-06-06,0.07883749999999999,take_profit,3,14.83,closed
S3.12_S_aggr_F8,ETH,SHORT,2026-06-03,1859.84,2026-06-05,1580.8639999999998,take_profit,2,14.83,closed
S3.12_S_aggr_F8,OP,SHORT,2026-06-03,0.1157,2026-06-03,0.123799,stop_loss,0,-7.214,closed
S3.12_S_aggr_F8,SUI,SHORT,2026-06-03,0.8085,2026-06-05,0.687225,take_profit,2,14.83,closed
S3.12_S_aggr_F8,XLM,SHORT,2026-06-03,0.2225,2026-06-05,0.189125,take_profit,2,14.83,closed
SEQ_S1.11_S+S3.01_L#v5,XRP,LONG,2026-06-03,1.2118,2026-06-05,1.1338585482874999,atr_stop,2,-6.619,closed
SEQ_S1.11_S+S4.04_L,DOGE,LONG,2026-06-03,0.09275,2026-06-04,0.0881125,stop_loss,1,-5.19,closed
S1.11_S_aggr,XLM,SHORT,2026-06-04,0.2088,2026-06-06,0.1962,eod,2,5.846,OPEN (MtM)
